v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,17314,0x365f00b91f60,75,InterpreterOnStackReplacement
code-creation,Builtin,3,17386,0x365f00b92000,832,CompileLazy
code-creation,Builtin,3,17478,0x365f00b92380,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,17571,0x365f00b89d60,201,DeserializeLazy
code-creation,Builtin,3,17640,0x365f00b92760,163,InstantiateAsmJs
code-creation,Builtin,3,17722,0x365f00b92860,47,NotifyDeoptimized
code-creation,Builtin,3,17810,0x365f00b928e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,17881,0x365f00b92960,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,17967,0x365f00b929e0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,18038,0x365f00b92a60,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,18124,0x365f00b92ae0,70,OnStackReplacement
code-creation,Builtin,3,18194,0x365f00b92b80,15,HandleApiCall
code-creation,Builtin,3,18278,0x365f00b92be0,15,HandleApiCallAsFunction
code-creation,Builtin,3,18349,0x365f00b92c40,15,HandleApiCallAsConstructor
code-creation,Builtin,3,18433,0x365f00b92ca0,29,AllocateInNewSpace
code-creation,Builtin,3,18528,0x365f00b92d00,36,AllocateInOldSpace
code-creation,Builtin,3,18615,0x365f00b92d80,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,18692,0x365f00b93120,544,GrowFastDoubleElements
code-creation,Builtin,3,18760,0x365f00b93380,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,18845,0x365f00b935c0,363,NewArgumentsElements
code-creation,Builtin,3,18916,0x365f00b93780,464,DebugBreakTrampoline
code-creation,Builtin,3,19000,0x365f00b939a0,130,FrameDropperTrampoline
code-creation,Builtin,3,19070,0x365f00b93a80,63,HandleDebuggerStatement
code-creation,Builtin,3,19142,0x365f00b93b00,402,ToObject
code-creation,Builtin,3,19212,0x365f00b93ce0,151,ToBoolean
code-creation,Builtin,3,19290,0x365f00b93dc0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,19380,0x365f00b93f20,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,19457,0x365f00b94080,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,19529,0x365f00b941c0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,19637,0x365f00b94300,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,19725,0x365f00b94440,95,StringToNumber
code-creation,Builtin,3,19795,0x365f00b944e0,103,ToName
code-creation,Builtin,3,19865,0x365f00b945a0,317,NonNumberToNumber
code-creation,Builtin,3,19936,0x365f00b94720,325,NonNumberToNumeric
code-creation,Builtin,3,20007,0x365f00b948c0,269,ToNumber
code-creation,Builtin,3,20077,0x365f00b94a20,357,ToNumeric
code-creation,Builtin,3,20147,0x365f00b94be0,219,NumberToString
code-creation,Builtin,3,20217,0x365f00b94d00,303,ToString
code-creation,Builtin,3,20365,0x365f00b94e80,482,ToInteger
code-creation,Builtin,3,20451,0x365f00b950c0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,20522,0x365f00b95300,538,ToLength
code-creation,Builtin,3,20614,0x365f00b95560,156,Typeof
code-creation,Builtin,3,20704,0x365f00b95640,75,GetSuperConstructor
code-creation,Builtin,3,20791,0x365f00b956e0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,20890,0x365f00b957e0,9980,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,20963,0x365f00b97f20,2559,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,21048,0x365f00b98960,40,KeyedLoadIC_Slow
code-creation,Builtin,3,21133,0x365f00b989e0,15756,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,21202,0x365f00b9c7c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,21273,0x365f00b9c840,40,LoadGlobalIC_Slow
code-creation,Builtin,3,21343,0x365f00b9c8c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,21415,0x365f00b9c960,40,LoadIC_Slow
code-creation,Builtin,3,21485,0x365f00b9c9e0,16,LoadIC_StringLength
code-creation,Builtin,3,21556,0x365f00b9ca40,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,21636,0x365f00b9caa0,3040,LoadIC_Uninitialized
code-creation,Builtin,3,21712,0x365f00b9d6c0,44,StoreGlobalIC_Slow
code-creation,Builtin,3,21797,0x365f00b9d740,6672,StoreIC_Uninitialized
code-creation,Builtin,3,21884,0x365f00b9f1a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,21956,0x365f00b9f220,1076,EnqueueMicrotask
code-creation,Builtin,3,22041,0x365f00b9f6a0,1432,RunMicrotasks
code-creation,Builtin,3,22111,0x365f00b9fc80,2388,HasProperty
code-creation,Builtin,3,22182,0x365f00ba0620,1036,DeleteProperty
code-creation,Builtin,3,22252,0x365f00ba0a80,25,Abort
code-creation,Builtin,3,22321,0x365f00ba0ae0,40,AbortJS
code-creation,Builtin,3,22390,0x365f00ba0b60,15,EmptyFunction
code-creation,Builtin,3,22460,0x365f00ba0bc0,15,Illegal
code-creation,Builtin,3,22530,0x365f00ba0c20,15,StrictPoisonPillThrower
code-creation,Builtin,3,22605,0x365f00ba0c80,15,UnsupportedThrower
code-creation,Builtin,3,22676,0x365f00ba0ce0,21,ArrayConstructor
